,word,count
22,'swemromas,'
170,'Admissions,'
263,'Garage,'
338,'terrace,'
429,'BCM,'
438,'ISC,'
481,'Dawson,'
523,'Andrews,'
651,'America,'
673,'Chick-fil-A,'
822,'Gardens,'
852,'wawa,'
904,'bathroom,'
1118,'small,'
1190,'trails,'
110,'outside',8
364,'Morton',8
145,'bathroom',7
86,'3rd',6
111,'Swem',6
184,'third',6
174,'bench',5
88,'Monroe',4
149,'professor',4
315,'campus',4
591,'school',4
616,'sobbing',4
884,'office',4
85,'shower',3
133,'Williamsburg',3
154,'research',3
177,'wall',3
209,'Marketplace',3
210,'Ewell',3
216,'well',3
233,'her',3
234,'mental',3
235,'health',3
278,'recommend',3
279,'spot',3
310,'if',3
319,'post',3
323,'Tucker',3
332,'help',3
347,'very',3
353,'stall',3
373,'friends',3
378,'myself',3
398,'more',3
400,'than',3
404,'across',3
463,'say',3
475,'am',3
477,'Richmond',3
478,'Road',3
510,'us',3
514,'hope',3
543,'once',3
576,'sunglasses',3
613,'any',3
665,'listening',3
675,'other',3
745,'were',3
751,'swemromas',3
756,'work',3
772,'dorm',3
778,'night',3
805,'being',3
850,'home',3
1067,'two',3
28,'has',2
29,'been',2
30,'taking',2
37,'isc',2
38,'tables',2
56,'DoG',2
71,'stressed',2
92,'hard',2
95,'sometimes',2
96,'2nd',2
97,'swem',2
108,'Happy',2
115,'dog',2
121,'grown',2
123,'started',2
150,'talk',2
155,'paper',2
160,'basement',2
162,'NOT',2
166,'totally',2
171,'thinking',2
173,'Center',2
190,'three',2
191,'amazing',2
197,'Literally',2
198,'everywhere',2
201,'never',2
208,'corner',2
214,"""wasn't""",2
222,'getting',2
226,'want',2
228,'bitch',2
229,'gotta',2
246,'everyone',2
249,'DuPont',2
250,'felt',2
251,'overwhelmed',2
253,'little',2
257,'eyes',2
262,'Parking',2
265,'North',2
269,'sunsets',2
282,'Aromas.',2
306,'could',2
312,'find',2
337,'midterms',2
341,'eating',2
356,'hours',2
360,'halfway',2
374,'left',2
407,"""it's""",2
409,'looking',2
419,'entire',2
423,'Hall',2
444,'study',2
452,'amphitheater',2
457,'Woods',2
460,'Also',2
461,'literally',2
464,'whole',2
468,"""I'm""",2
471,'parking',2
489,'College',2
496,'thank',2
500,'-',2
501,'made',2
505,'struggles',2
515,'lovely',2
519,'happy',2
547,'alums',2
567,'grass',2
570,'Sitting',2
572,'tree',2
575,'hoping',2
597,'big',2
603,'semester',2
618,'single',2
623,'before',2
626,'can’t',2
629,'picnic',2
637,'points',2
641,'end',2
661,'Jamestown',2
676,'waiting',2
678,'And',2
687,'I’m',2
697,'those',2
709,'your',2
716,'lab',2
717,'quiz',2
721,'Not',2
727,'going',2
733,'bad',2
765,'Bathroom',2
801,'exam',2
815,'good',2
818,'long',2
821,'Sunken',2
824,'playing',2
826,'goes',2
831,'caroline',2
843,'even',2
859,'rn',2
869,'Prof.',2
877,'life',2
880,'too',2
881,'close',2
898,'comes',2
917,'Currently',2
936,'office.',2
939,'nice',2
951,'glasses',2
971,'gotten',2
987,'years',2
994,'professors',2
1012,'year',2
1020,'ran',2
1032,'radio',2
1037,'sadler',2
1070,'(the',2
1078,'favorite',2
1085,'episode',2
1088,'ludwell',2
1136,'rainy',2
1146,'laptop',2
3,'steps',1
5,'Barrett',1
7,'11',1
8,'pm',1
11,'friend',1
12,'comforted',1
16,'awkwardly',1
17,'walked',1
21,'inside',1
25,'realized',1
32,'fliers',1
33,'advertising',1
35,'abortion',1
36,'speakout',1
40,'realizing',1
44,'point',1
46,'foreseeable',1
47,'future',1
51,'enough',1
53,'make',1
54,'babka',1
57,'part',1
58,'2',1
62,'late',1
64,'gig',1
65,'lost',1
66,'expensive',1
67,"""witch's""",1
68,'hat',1
74,'lodge',1
77,'football',1
78,'game',1
79,'came',1
80,'dad',1
83,'supported',1
91,'freaking',1
94,'human',1
99,"""you'd""",1
100,'murdered',1
101,'sniffling',1
102,'1st',1
103,'might',1
104,'nerve',1
105,'try',1
106,'TALK',1
112,'Spring',1
113,'Finals',1
114,'therapy',1
116,'met',1
118,'training',1
119,'puppy',1
120,'full',1
122,'remembered',1
124,'pawing',1
125,'cuddling',1
128,'taken',1
129,'final',1
131,'sidewalk',1
134,'Regional',1
135,'Library',1
136,'slipping',1
138,'falling',1
140,'dropping',1
141,'$8',1
142,'ice',1
143,'cream',1
144,'sandwich.',1
146,'tyler',1
147,'meeting',1
152,'12',1
157,'change',1
158,'thesis',1
159,':’-)',1
161,'unit',1
165,'tiktok',1
167,'100%',1
168,'sober',1
169,'yep',1
172,'future.',1
175,'against',1
178,'business',1
185,'lemon',1
189,'accompanied',1
192,'souls',1
195,'always',1
196,'#SadBoiHours',1
199,'dating',1
200,'garbage',1
202,'man',1
203,'romantic',1
206,'again',1
207,'Back',1
211,'shortly',1
212,'thereafter',1
213,'cold',1
215,'dressed',1
217,'horse',1
218,'shit',1
219,'field',1
220,'trips',1
221,'kept',1
223,'needed',1
224,'pee',1
225,"""didn't""",1
232,'4',1
237,'cookout',1
238,'drive-thru',1
241,'hunger',1
242,'kick',1
243,'ass.',1
244,'(Also',1
245,'wtf',1
247,'eats',1
248,'cookout.)',1
254,'bit',1
256,'shampoo',1
258,'top',1
259,'level',1
260,'Prince',1
261,'George',1
264,'off',1
266,'Henry',1
267,'street.',1
270,'(great',1
271,'view',1
276,'pain.',1
277,'Would',1
280,'go',1
281,'in.',1
283,'Corner',1
284,'booth.',1
285,'Sobbing',1
288,'essay',1
289,'(but',1
291,'essay).',1
292,'During',1
293,'open-mic',1
294,'night.',1
295,'Japanese',1
298,'we',1
299,'watched',1
301,'music',1
302,'video',1
303,'fragile',1
304,'emotional',1
305,'state',1
307,'handle',1
309,'difficult',1
311,'impossible',1
313,'place',1
317,'Sadler',1
318,'seat',1
321,'mins',1
322,'later',1
324,'learning',1
325,'voter',1
326,'registration',1
327,'application',1
328,'denied',1
329,'(without',1
330,'reason)',1
331,"""can't""",1
333,'fix',1
334,'our',1
335,'disaster',1
336,'government',1
339,'calling',1
342,'cookies',1
344,'sent',1
346,'gave',1
348,'reasonable',1
349,'advice',1
350,'did',1
351,'hear!',1
354,'swem..during',1
355,'PEAK',1
358,'LOTS',1
359,'sniffling!',1
361,'through',1
362,'walk',1
363,'wren',1
366,'TR',1
367,'Ethan',1
368,'Brown',1
370,'Zoe',1
371,'Connell',1
375,'alone.',1
376,'stairwell',1
377,'finding',1
380,'unable',1
381,'take',1
382,'another',1
383,'step',1
384,'closer',1
385,'orgo',1
386,'II',1
387,'classroom!',1
388,'bed',1
389,'now.',1
390,'Trying',1
391,'wake',1
392,'roommate',1
394,'Dock',1
395,'near',1
396,'Keck',1
397,'lab...',1
399,'times',1
402,'count.',1
403,'hike',1
405,'CW',1
406,'spot.',1
408,'classic',1
410,'moodily',1
411,'lake',1
414,'Spotswood',1
415,'Gooch',1
416,'Botetourt',1
417,'courtyard',1
420,'road',1
421,'circling',1
422,'Kaplan',1
425,'multiple',1
426,'places',1
427,'wherever',1
430,'Chandler',1
432,'Ho',1
434,'amphitheatre',1
435,'Crim',1
437,'Grim',1
439,'Wren',1
442,'specifically',1
443,'individual',1
445,'rooms.',1
446,'think',1
447,"""that's""",1
448,'all.',1
449,'lot.',1
450,'A',1
451,'throwback',1
453,'crim',1
454,'dell',1
455,'pit',1
456,'Into',1
458,'damn',1
459,'nightmare;',1
462,'entirety',1
465,'Music',1
466,'Dept',1
467,'knows',1
469,'mess',1
470,'facstaff',1
479,'Movie',1
480,'Tavern',1
482,'twice',1
483,'#tbt',1
484,'group',1
485,'swem.',1
486,'actually',1
487,'Sweet',1
488,'Briar',1
490,'(although',1
491,'fiance',1
492,'some',1
493,'attended',1
494,'W&M)',1
495,'wanted',1
497,"""y'all""",1
498,'brilliant',1
499,'idea',1
502,'SBC',1
503,'version',1
504,"""y'all's""",1
506,'W&M',1
507,'stress',1
508,'culture',1
509,'resonate',1
513,'you.',1
517,'filled',1
518,'only',1
521,'teachers’',1
522,'“lounge”',1
524,'blasting',1
525,'Alvin',1
526,'Chipmunks',1
527,'Christmas',1
528,'album',1
529,'3am.',1
530,'212',1
531,'wouldn’t',1
532,'give',1
533,'extension',1
534,'mid-lecture',1
535,'blue',1
536,'monkey',1
537,'bars',1
538,'hoco',1
539,'2017',1
540,'booth',1
541,'Green',1
544,'month',1
545,'Is',1
546,'chill',1
549,'iconic',1
550,'cries',1
551,'cause',1
552,'graduated',1
553,'May',1
554,'discovered',1
555,'love',1
556,'share',1
557,'sobbed',1
558,'shamelessly',1
559,'butterfly',1
560,'Muscarelle',1
561,'pretending',1
562,'read',1
563,'book',1
564,'comprehensive',1
565,'history',1
566,'Wawa',1
568,'patch',1
569,'wall.',1
571,'under',1
573,'broad',1
577,'conceal',1
578,'🙃',1
579,'Sociology',1
580,'library.',1
581,'several',1
582,'different',1
583,'occasions',1
585,'terrace',1
586,'peak',1
587,'TIMES;',1
588,'Only',1
590,'75%',1
592,'saw',1
593,'each',1
594,'fine',1
595,'Old',1
596,'annual',1
598,'ole',1
599,'soul',1
600,'B',1
601,'School',1
602,'Courtyard',1
604,'between',1
605,'brick',1
606,'along',1
608,'windows',1
609,'above',1
610,'head',1
611,'weren’t',1
612,'letting',1
614,'residents',1
615,'hear',1
617,'Neatly',1
619,'(at',1
620,'least',1
621,'15',1
622,'min',1
624,'starts);',1
625,'garage',1
627,'finish',1
628,'midterm',1
630,'yates',1
631,'stith',1
632,'random',1
633,'echoey',1
634,'enclaves.',1
635,'amplified',1
636,'hear!!',1
638,'gryffindor',1
639,'ur',1
640,'look',1
642,'~10:02',1
643,'pm:',1
644,'landrum',1
646,'staring',1
647,'moon',1
648,'(a',1
649,'cry)',1
650,'Arts',1
654,'bitches',1
655,'stuff',1
656,'done',1
657,'Under',1
658,'street',1
659,'lamp',1
660,'flickers',1
663,'Landrum.',1
664,'elevator',1
666,'Garden',1
667,'State',1
668,'soundtrack',1
669,'dodging',1
670,'slow',1
671,'sidewalks',1
672,'goodwill',1
674,'thirty',1
677,'food.',1
679,'bee',1
680,'flew',1
681,'into',1
682,'milkshake',1
683,'I’d',1
684,'waited',1
685,'23',1
686,'for.',1
688,'sure',1
689,'Andrews',1
690,'added',1
691,'list',1
692,'later.',1
693,'Great',1
694,'Right',1
695,'Andrew’s',1
696,'101',1
698,'chairs',1
699,'“please',1
700,'move-',1
701,'required',1
702,'art',1
703,'exhibit”',1
704,'bookcase',1
705,'1am',1
706,'grind!',1
707,'better',1
708,'start',1
710,'cuppa',1
711,'joe',1
712,'public',1
713,'crying??',1
714,'Steps',1
715,'finished',1
718,'five',1
719,'clue',1
720,'doing',1
722,'Swemromas',1
723,'abridged',1
725,'library-quiet',1
726,'cry.',1
728,'out.',1
729,'Live',1
731,'die',1
734,'girls',1
735,'✌🏻',1
736,'elliptical',1
737,'gym',1
738,'senator',1
739,'mcconnell',1
740,'claim',1
741,'Dr.',1
742,'Blasey',1
743,"""Ford's""",1
744,'allegations',1
746,'democrat',1
747,'tactic',1
748,"""kavanaugh's""",1
749,'nomination',1
750,'stopped',1
752,'overhearing',1
753,'conversation',1
754,'which',1
755,'upset',1
757,'guilt',1
759,'seemingly',1
760,'less',1
761,'feeling',1
762,'majorly',1
763,'inadequate',1
764,'#stressculture',1
766,'Charles',1
768,"""I'd""",1
769,'pay',1
770,'costs',1
771,'pocket.',1
773,'(classic)',1
774,'doesn’t',1
775,'magnify',1
776,'sound',1
777,'Last',1
779,'epitome',1
780,'college',1
781,'student.',1
782,'went',1
784,'cheerful',1
